pedido_id,transportadora,data
1,Transportadora Sul,06/05/2024
2,Transportadora Sul,10/07/2024
3,Correios,02/03/2024
4,Correios,12/10/2024
5,Motoboy Express,12/05/2024
6,Motoboy Express,11/06/2024
7,Motoboy Express,12/05/2024
8,Correios,05/11/2024
9,Motoboy Express,04/05/2024
10,Correios,08/01/2024
11,Motoboy Express,09/08/2024
12,Motoboy Express,07/04/2024
13,Transportadora Sul,11/11/2024
14,Correios,07/04/2024
15,Motoboy Express,10/08/2024
16,Correios,10/12/2024
17,Transportadora Sul,09/07/2024
18,Correios,06/08/2024
19,Transportadora Sul,10/01/2024
20,Motoboy Express,08/11/2024
21,Motoboy Express,08/01/2024
22,Transportadora Sul,05/11/2024
23,Correios,06/11/2024
24,Motoboy Express,09/07/2024
25,Transportadora Sul,01/12/2024
26,Correios,07/03/2024
27,Motoboy Express,04/10/2024
28,Motoboy Express,12/01/2024
29,Correios,02/09/2024
30,Correios,10/03/2024
