id_checkin,aluno_id,unidade,duracao_min,pontuacao_desempenho
50226,211,Centro,74,84.9
50292,47,Norte,87,53.0
50090,204,Norte,71,89.2
50373,101,Sul,48,83.1
50273,145,Centro,85,69.1
50417,123,Centro,47,82.9
50473,148,Sul,92,70.6
50234,164,Sul,32,56.9
50111,113,Norte,73,49.3
50471,1,Centro,47,89.5
50099,105,Norte,85,69.1
50339,170,Sul,82,55.7
50309,62,Centro,45,64.1
50304,197,Norte,34,92.8
50272,197,Centro,81,60.0
50346,219,Centro,40,38.5
50412,204,Sul,83,75.8
50151,114,Norte,51,54.2
50310,5,Norte,47,79.9
50410,210,Centro,61,94.4
50174,170,Centro,52,48.9
50132,48,Centro,89,65.4
50224,63,Sul,75,72.2
50318,81,Norte,85,79.4
50284,155,Centro,87,64.1
50444,22,Centro,80,69.0
50321,53,Sul,68,66.9
50116,47,Norte,65,59.4
50333,53,Norte,69,53.1
50351,219,Centro,52,83.9
50123,197,Sul,59,69.8
50308,203,Sul,60,73.3
50394,130,Centro,82,66.7
50453,109,Norte,68,70.2
50302,219,Sul,58,72.3
50131,50,Centro,71,70.8
50236,2,Sul,74,71.2
50425,121,Norte,76,70.4
50262,63,Norte,57,63.7
50040,210,Centro,89,71.9
50393,27,Sul,61,93.0
50141,34,Sul,51,64.3
50223,52,Centro,86,70.3
50456,115,Centro,91,66.1
50296,190,Norte,84,62.6
50300,80,Sul,62,61.5
50414,90,Centro,40,70.0
50122,159,Sul,66,76.5
50150,58,Centro,70,47.3
50140,113,Centro,86,53.5
50107,63,Sul,86,54.2
50327,101,Sul,59,50.2
50075,196,Sul,43,91.4
50034,6,Centro,58,59.4
50153,144,Norte,47,56.9
50056,76,Sul,65,70.0
50098,85,Centro,90,54.3
50455,78,Centro,92,63.5
50295,39,Centro,38,64.6
50050,150,Norte,91,66.1
50346,219,Centro,40,38.5
50176,199,Centro,67,84.5
50127,115,Norte,43,93.7
50157,97,Centro,33,45.8
50358,219,Sul,79,60.7
50403,168,Centro,34,71.2
50028,142,Sul,35,65.8
50043,112,Sul,61,69.4
50071,144,Sul,77,80.4
50039,4,Norte,83,73.4
50467,16,Norte,61,89.0
50311,142,Sul,69,51.3
50049,28,Norte,81,73.9
50409,91,Norte,62,52.8
50407,19,Centro,62,58.3
50353,24,Norte,45,85.0
50170,112,Norte,31,70.3
50149,167,Norte,59,85.4
50263,122,Norte,85,66.8
50421,150,Centro,67,59.5
50470,52,Centro,79,54.4
50163,35,Norte,41,51.6
50221,31,Centro,52,45.0
50434,110,Norte,91,79.5
50066,122,Centro,85,73.0
50449,7,Sul,94,73.2
50315,109,Centro,66,75.1
50392,214,Sul,675,69.4
50297,34,Sul,49,71.8
50352,164,Norte,71,79.8
50186,108,Sul,43,71.0
50021,163,Norte,32,79.5
50478,189,Norte,94,75.9
50442,154,Sul,78,52.9
50329,140,Sul,65,60.2
50052,19,Norte,78,66.5
50134,24,Norte,62,69.5
50349,187,Centro,89,79.9
50212,53,Norte,40,52.4
50156,120,Centro,92,61.2
50479,169,Sul,42,62.5
50248,61,Centro,91,73.9
50033,104,Centro,53,83.3
50283,10,Sul,64,73.1
50418,11,Sul,64,97.7
50232,22,Norte,85,76.0
50402,136,Sul,56,62.3
50368,148,Sul,31,57.4
50201,4,Sul,36,63.5
50310,5,Norte,47,79.9
50343,64,Centro,69,65.2
50230,176,Sul,94,68.9
50395,26,Centro,90,84.9
50197,170,Norte,86,81.2
50451,217,Sul,89,58.8
50145,128,Norte,47,79.1
50184,166,Norte,85,76.1
50047,28,Centro,74,66.1
50009,121,Centro,45,67.7
50244,76,Sul,81,54.2
50340,40,Centro,46,80.6
50306,21,Sul,60,75.0
50334,88,Norte,80,90.1
50331,174,Norte,47,79.4
50053,52,Centro,93,96.9
50101,129,Norte,44,65.8
50463,159,Sul,38,64.2
50218,120,Norte,71,85.1
50117,38,Centro,48,74.2
50195,57,Sul,57,57.5
50162,74,Sul,41,58.0
50219,41,Centro,82,73.7
50440,92,Centro,60,77.8
50139,67,Centro,85,77.0
50381,42,Sul,70,57.4
50319,118,Norte,52,70.6
50473,148,Sul,92,70.6
50386,165,Norte,89,74.3
50062,160,Norte,34,68.7
50191,163,Sul,38,55.7
50312,17,Norte,58,69.2
50155,79,Norte,72,50.6
50018,71,Centro,93,68.9
50328,194,Sul,42,75.1
50198,210,Norte,56,76.9
50372,173,Norte,53,71.8
50000,179,Norte,900,56.9
50060,100,Centro,57,69.4
50108,193,Sul,58,70.1
50298,131,Sul,82,76.7
50138,110,Centro,48,68.2
