bairro,area_m2,quartos,preco
Córrego Grande,121,2,934250.0
Itacorubi,55,3,1104250.0
Centro,142,3,1474250.0
Lagoa da Conceição,97,3,584000.0
Córrego Grande,127,3,472000.0
Lagoa da Conceição,84,2,371000.0
Córrego Grande,60,3,455000.0
Córrego Grande,65,4,375000.0
Itacorubi,119,2,339000.0
Lagoa da Conceição,127,3,399000.0
Centro,75,1,425000.0
Córrego Grande,86,2,308000.0
Centro,153,4,351000.0
Córrego Grande,142,3,421000.0
Lagoa da Conceição,92,1,396000.0
Lagoa da Conceição,72,3,444000.0
Trindade,79,4,347000.0
Trindade,106,1,463000.0
Córrego Grande,110,1,349000.0
Trindade,66,2,519000.0
Centro,52,3,317000.0
Trindade,101,2,354000.0
Córrego Grande,136,4,445000.0
Córrego Grande,62,4,520000.0
Lagoa da Conceição,91,3,439000.0
Córrego Grande,63,2,454000.0
Trindade,72,1,421000.0
Itacorubi,115,4,358000.0
Itacorubi,77,4,391000.0
Córrego Grande,75,2,347000.0
Córrego Grande,159,3,343000.0
Trindade,64,4,444000.0
Lagoa da Conceição,66,3,353000.0
Lagoa da Conceição,151,1,439000.0
Centro,108,3,342000.0
Trindade,49,4,438000.0
Trindade,93,4,391000.0
Lagoa da Conceição,109,2,504000.0
Centro,74,3,439000.0
Trindade,108,2,494000.0
Trindade,119,3,375000.0
Córrego Grande,73,1,423000.0
Trindade,138,2,361000.0
Córrego Grande,97,2,395000.0
Itacorubi,155,2,404000.0
Lagoa da Conceição,55,2,376000.0
Centro,82,1,347000.0
Centro,127,3,335000.0
Centro,147,2,280000.0
Lagoa da Conceição,70,4,357000.0
Itacorubi,157,1,458000.0
Córrego Grande,67,3,324000.0
Itacorubi,92,1,338000.0
Córrego Grande,81,3,527000.0
Trindade,93,2,382000.0
Córrego Grande,148,2,439000.0
Itacorubi,129,3,459000.0
Centro,136,4,460000.0
Itacorubi,74,2,329000.0
Córrego Grande,153,4,406000.0
