aluno,prova1,prova2,trabalho,prova_final
Aluno 01,6.7,4.8,7.0,7.7
Aluno 02,7.6,9.4,8.4,7.5
Aluno 03,9.9,9.3,5.7,6.5
Aluno 04,6.2,7.2,9.8,
Aluno 05,8.9,7.7,5.9,9.6
Aluno 06,5.9,5.6,6.0,6.8
Aluno 07,8.8,4.3,9.3,5.2
Aluno 08,7.6,7.6,9.6,
Aluno 09,5.3,5.8,6.1,
Aluno 10,6.5,8.0,7.3,4.8
Aluno 11,5.9,9.0,8.7,5.0
Aluno 12,4.5,4.1,9.4,8.1
Aluno 13,4.2,7.6,6.9,6.0
Aluno 14,6.1,5.4,7.6,9.7
Aluno 15,4.1,9.2,8.7,5.5
Aluno 16,5.0,5.5,8.7,4.6
Aluno 17,8.4,7.7,8.9,8.5
Aluno 18,8.2,7.3,7.8,9.3
Aluno 19,8.4,6.4,5.5,5.7
Aluno 20,5.9,8.1,9.5,
Aluno 21,9.3,8.4,9.3,5.1
Aluno 22,7.6,7.4,9.0,7.1
Aluno 23,4.8,8.6,5.5,
Aluno 24,4.9,9.9,6.0,5.6
Aluno 25,8.2,6.5,8.7,
Aluno 26,5.0,7.1,5.1,6.9
Aluno 27,7.0,4.1,9.9,9.8
Aluno 28,10.0,8.8,6.9,
Aluno 29,4.0,7.1,8.6,7.0
Aluno 30,4.1,6.4,9.4,4.7
Aluno 31,10.0,4.6,7.0,5.5
Aluno 32,7.5,9.3,6.6,
