id_pedido,cliente,produto,valor,data_pedido
10971,Cliente 145,Jaqueta,387.55,2024-06-22
10783,Cliente 328,Boné,487.92,2024-01-09
10374,Cliente 70,Boné,407.17,2024-01-28
10715,Cliente 327,Jaqueta,411.78,2024-02-22
10921,Cliente 442,Tênis,493.02,2024-02-16
10355,Cliente 181,Tênis,307.84,2024-02-11
10808,Cliente 233,Jaqueta,33.42,2024-06-08
10941,Cliente 261,Jaqueta,318.76,2024-06-18
10243,Cliente 130,Boné,259.68,2024-03-30
10986,Cliente 415,Tênis,109.77,2024-01-04
10796,Cliente 340,Boné,296.77,2024-02-02
10514,Cliente 252,Camiseta,190.92,2024-07-23
10357,Cliente 143,Meia,239.64,2024-02-15
10788,Cliente 462,Mochila,467.58,2024-02-21
10201,Cliente 292,Tênis,195.4,2024-07-02
11055,Cliente 75,Mochila,65.92,2024-01-17
10339,Cliente 117,Camiseta,331.43,2024-03-31
10370,Cliente 398,Meia,188.9,2024-06-28
10854,Cliente 491,Camiseta,163.13,2024-02-05
10644,Cliente 68,Mochila,358.16,2024-02-09
10667,Cliente 376,Boné,84.87,2024-05-29
10173,Cliente 394,Camiseta,447.27,2024-02-21
10107,Cliente 437,Boné,196.83,2024-02-07
10180,Cliente 160,Jaqueta,174.49,2024-01-24
10065,Cliente 267,Meia,150.56,2024-02-09
10119,Cliente 485,Camiseta,74.09,2024-03-10
10668,Cliente 54,Tênis,78.46,2024-01-07
10407,Cliente 226,Mochila,106.61,2024-05-06
10324,Cliente 167,Jaqueta,342.14,2024-07-22
10687,Cliente 105,Tênis,499.07,2024-07-16
10019,Cliente 54,Meia,495.58,2024-07-01
10723,Cliente 16,Tênis,335.32,2024-01-23
10447,Cliente 162,Mochila,320.2,2024-07-24
10637,Cliente 207,Tênis,135.79,2024-06-11
11179,Cliente 245,Mochila,302.04,2024-01-09
10385,Cliente 473,Boné,415.04,2024-07-08
11056,Cliente 284,Tênis,313.84,2024-04-02
10682,Cliente 263,Meia,302.34,2024-02-21
10947,Cliente 381,Jaqueta,310.86,2024-04-13
10825,Cliente 217,Meia,144.87,2024-02-04
11185,Cliente 175,Jaqueta,255.13,2024-03-31
10057,Cliente 439,Tênis,226.24,2024-03-11
10581,Cliente 309,Meia,441.08,2024-03-06
10548,Cliente 197,Jaqueta,216.28,2024-06-15
10861,Cliente 64,Jaqueta,267.59,2024-07-20
11163,Cliente 218,Camiseta,257.13,2024-03-29
10677,Cliente 481,Meia,422.76,2024-02-28
10288,Cliente 305,Tênis,402.27,2024-04-27
10930,Cliente 267,Jaqueta,240.17,2024-05-22
10391,Cliente 438,Meia,160.18,2024-05-08
10238,Cliente 171,Camiseta,431.11,2024-01-19
11194,Cliente 447,Meia,41.89,2024-03-19
10537,Cliente 31,Camiseta,496.66,2024-01-30
11109,Cliente 411,Mochila,387.07,2024-07-05
11094,Cliente 326,Meia,59.31,2024-05-06
10317,Cliente 428,Camiseta,419.15,2024-01-15
10730,Cliente 216,Tênis,145.22,2024-03-03
11160,Cliente 315,Boné,363.57,2024-06-27
10923,Cliente 180,Boné,320.26,2024-03-02
10755,Cliente 36,Mochila,467.33,2024-06-08
10001,Cliente 470,Tênis,36.54,2024-04-08
10542,Cliente 69,Meia,465.57,2024-06-05
10031,Cliente 56,Tênis,174.88,2024-01-30
10239,Cliente 348,Jaqueta,140.21,2024-07-02
10321,Cliente 221,Jaqueta,357.62,2024-04-11
10061,Cliente 287,Boné,195.31,2024-06-18
10916,Cliente 41,Camiseta,207.55,2024-06-14
11000,Cliente 272,Mochila,338.43,2024-05-12
10144,Cliente 397,Jaqueta,402.93,2024-07-19
10587,Cliente 52,Boné,353.61,2024-02-25
10669,Cliente 26,Meia,329.66,2024-01-24
10597,Cliente 82,Tênis,486.74,2024-04-15
11103,Cliente 451,Mochila,196.66,2024-04-01
10352,Cliente 129,Jaqueta,374.89,2024-04-28
10069,Cliente 167,Tênis,423.82,2024-03-19
10216,Cliente 151,Meia,263.96,2024-02-18
10824,Cliente 81,Boné,70.27,2024-04-09
10528,Cliente 60,Tênis,387.09,2024-01-30
10123,Cliente 330,Meia,94.04,2024-03-19
10303,Cliente 270,Jaqueta,141.15,2024-01-17
11100,Cliente 115,Camiseta,307.3,2024-04-01
10587,Cliente 52,Boné,353.61,2024-02-25
10080,Cliente 259,Mochila,57.56,2024-05-03
11129,Cliente 367,Camiseta,461.91,2024-02-04
10343,Cliente 313,Mochila,314.81,2024-03-02
10150,Cliente 397,Tênis,73.51,2024-07-12
10995,Cliente 461,Camiseta,117.65,2024-01-11
10175,Cliente 248,Meia,123.8,2024-06-30
10992,Cliente 471,Mochila,347.63,2024-02-07
11039,Cliente 192,Camiseta,196.21,2024-01-28
10157,Cliente 144,Boné,325.51,2024-07-21
10456,Cliente 161,Boné,497.81,2024-06-16
10386,Cliente 77,Mochila,264.24,2024-03-27
10228,Cliente 360,Mochila,62.39,2024-03-12
10362,Cliente 430,Meia,53.58,2024-02-13
10416,Cliente 276,Tênis,326.6,2024-06-07
10866,Cliente 397,Mochila,441.2,2024-02-14
10081,Cliente 141,Meia,310.89,2024-07-04
10121,Cliente 264,Tênis,381.7,2024-03-24
10143,Cliente 29,Boné,457.5,2024-03-03
10588,Cliente 413,Boné,280.29,2024-01-28
10304,Cliente 200,Camiseta,277.89,2024-06-15
10232,Cliente 453,Meia,61.11,2024-03-25
10648,Cliente 160,Mochila,461.88,2024-07-21
11032,Cliente 79,Mochila,330.46,2024-01-07
10449,Cliente 340,Meia,380.86,2024-01-06
10931,Cliente 185,Jaqueta,382.17,2024-05-18
10675,Cliente 100,Mochila,469.33,2024-05-21
10956,Cliente 78,Tênis,240.68,2024-07-13
10229,Cliente 295,Boné,372.0,2024-02-27
10263,Cliente 375,Tênis,439.79,2024-05-04
10709,Cliente 402,Meia,55.31,2024-04-10
11169,Cliente 352,Tênis,159.45,2024-04-11
10708,Cliente 190,Meia,349.1,2024-07-09
10186,Cliente 330,Camiseta,372.76,2024-01-15
10752,Cliente 161,Camiseta,88.11,2024-04-12
10750,Cliente 277,Camiseta,78.9,2024-03-30
11116,Cliente 254,Boné,257.15,2024-03-09
10350,Cliente 145,Meia,308.27,2024-06-25
10247,Cliente 163,Tênis,420.33,2024-02-07
11089,Cliente 212,Camiseta,460.74,2024-07-15
10962,Cliente 284,Camiseta,456.1,2024-03-14
11004,Cliente 485,Boné,346.36,2024-06-16
11120,Cliente 497,Tênis,76.87,2024-02-24
10290,Cliente 128,Camiseta,449.39,2024-01-01
10617,Cliente 48,Mochila,31.17,2024-04-02
10602,Cliente 338,Camiseta,136.31,2024-02-11
10458,Cliente 374,Boné,291.96,2024-02-17
10097,Cliente 417,Jaqueta,499.79,2024-04-28
10072,Cliente 81,Camiseta,109.79,2024-01-22
10570,Cliente 414,Boné,303.76,2024-06-18
11123,Cliente 256,Jaqueta,478.33,2024-05-20
10264,Cliente 124,Tênis,312.9,2024-05-05
10266,Cliente 334,Tênis,356.01,2024-02-25
10671,Cliente 230,Tênis,131.72,2024-05-18
10778,Cliente 299,Mochila,491.1,2024-03-03
10058,Cliente 355,Tênis,150.86,2024-04-20
10160,Cliente 2,Camiseta,425.85,2024-07-17
10670,Cliente 58,Camiseta,195.06,2024-06-20
10472,Cliente 77,Tênis,239.17,2024-02-17
10152,Cliente 106,Meia,89.38,2024-04-26
10895,Cliente 480,Mochila,67.27,2024-03-19
11049,Cliente 178,Meia,96.91,2024-06-13
10323,Cliente 406,Meia,306.04,2024-06-15
10475,Cliente 141,Jaqueta,241.91,2024-05-17
10316,Cliente 161,Mochila,385.85,2024-06-15
10679,Cliente 52,Jaqueta,377.62,2024-02-19
10085,Cliente 197,Boné,151.42,2024-07-05
11101,Cliente 384,Jaqueta,98.73,2024-05-21
10807,Cliente 102,Mochila,499.61,2024-02-08
10440,Cliente 212,Tênis,476.4,2024-02-02
10103,Cliente 479,Camiseta,83.49,2024-02-06
11112,Cliente 249,Camiseta,409.58,2024-03-13
11149,Cliente 360,Boné,63.64,2024-04-08
10550,Cliente 437,Jaqueta,145.51,2024-03-25
10469,Cliente 457,Boné,65.97,2024-04-23
10190,Cliente 236,Meia,258.34,2024-04-19
10146,Cliente 311,Mochila,231.58,2024-03-01
10925,Cliente 67,Jaqueta,116.53,2024-05-17
10249,Cliente 66,Meia,254.39,2024-07-08
10439,Cliente 89,Jaqueta,332.46,2024-07-14
10046,Cliente 133,Camiseta,49.86,2024-07-17
10527,Cliente 480,Boné,366.71,2024-07-28
10991,Cliente 181,Camiseta,331.14,2024-04-16
