id_venda,produto,valor,data_venda,filial
1,Bebida,33.19,2024-06-09,Centro
2,Sobremesa,167.69,2024-02-19,Centro
3,Prato Executivo,100.81,2024-03-11,Centro
4,Combo Família,125.29,2024-02-04,Centro
5,Prato Executivo,76.52,2024-01-27,Centro
6,Bebida,24.76,2024-02-15,Centro
7,Bebida,173.07,2024-01-25,Centro
8,Prato Executivo,179.11,2024-05-11,Centro
9,Combo Família,75.15,2024-04-17,Centro
10,Sobremesa,170.74,2024-03-11,Centro
11,Bebida,42.67,2024-04-08,Centro
12,Combo Família,40.52,2024-04-18,Centro
13,Bebida,27.06,2024-02-03,Centro
14,Combo Família,79.56,2024-02-23,Centro
15,Prato Executivo,23.63,2024-06-07,Centro
16,Bebida,80.12,2024-01-03,Centro
17,Combo Família,37.83,2024-06-21,Centro
18,Prato Executivo,135.54,2024-06-22,Centro
19,Combo Família,152.5,2024-02-15,Centro
20,Prato Executivo,128.49,2024-02-27,Centro
21,Bebida,48.08,2024-02-07,Centro
22,Prato Executivo,141.53,2024-04-10,Centro
23,Combo Família,56.17,2024-02-08,Centro
24,Prato Executivo,140.32,2024-05-22,Centro
25,Combo Família,108.62,2024-03-10,Centro
26,Bebida,75.51,2024-06-23,Centro
27,Lanche,28.78,2024-06-02,Centro
28,Combo Família,151.54,2024-03-13,Centro
29,Bebida,170.04,2024-04-17,Centro
30,Prato Executivo,124.88,2024-01-05,Centro
31,Combo Família,174.15,2024-01-13,Centro
32,Bebida,169.13,2024-04-01,Centro
33,Prato Executivo,47.11,2024-03-26,Centro
34,Sobremesa,135.65,2024-03-12,Centro
35,Sobremesa,72.64,2024-01-17,Centro
36,Sobremesa,95.44,2024-05-31,Centro
37,Combo Família,40.9,2024-03-14,Centro
38,Prato Executivo,175.84,2024-03-25,Centro
39,Bebida,134.81,2024-03-13,Centro
40,Lanche,59.04,2024-03-30,Centro
41,Combo Família,76.29,2024-04-26,Centro
42,Sobremesa,84.71,2024-05-17,Centro
43,Lanche,138.34,2024-04-08,Centro
44,Prato Executivo,167.74,2024-01-30,Centro
45,Sobremesa,68.04,2024-06-06,Centro
46,Lanche,92.96,2024-02-21,Centro
47,Lanche,112.88,2024-01-03,Centro
48,Bebida,79.9,2024-01-08,Centro
49,Bebida,98.19,2024-05-19,Centro
50,Bebida,32.44,2024-03-10,Centro
51,Prato Executivo,42.67,2024-01-05,Centro
52,Lanche,81.18,2024-05-26,Centro
53,Combo Família,165.96,2024-02-24,Centro
54,Combo Família,72.64,2024-06-25,Centro
55,Bebida,56.22,2024-06-07,Centro
56,Lanche,137.57,2024-01-09,Centro
57,Lanche,171.61,2024-05-04,Centro
58,Bebida,90.76,2024-04-18,Centro
59,Prato Executivo,16.42,2024-01-31,Centro
60,Prato Executivo,128.54,2024-03-02,Centro
61,Sobremesa,83.49,2024-03-29,Centro
62,Prato Executivo,126.15,2024-01-27,Centro
63,Sobremesa,60.82,2024-05-09,Centro
64,Combo Família,15.4,2024-02-19,Centro
65,Prato Executivo,71.84,2024-06-17,Centro
66,Lanche,131.29,2024-05-24,Centro
67,Bebida,79.86,2024-04-24,Centro
68,Combo Família,51.16,2024-01-22,Centro
69,Prato Executivo,91.56,2024-01-05,Centro
70,Prato Executivo,139.14,2024-01-27,Centro
71,Prato Executivo,34.71,2024-03-30,Centro
72,Bebida,129.14,2024-05-20,Centro
73,Lanche,125.11,2024-01-28,Centro
74,Bebida,76.17,2024-05-07,Centro
75,Sobremesa,175.11,2024-01-09,Centro
76,Combo Família,162.63,2024-02-17,Centro
77,Combo Família,67.17,2024-04-17,Centro
78,Lanche,20.13,2024-05-29,Centro
79,Bebida,65.87,2024-05-19,Centro
80,Sobremesa,48.78,2024-04-05,Centro
81,Sobremesa,105.3,2024-01-07,Centro
82,Lanche,166.59,2024-02-22,Centro
83,Lanche,158.61,2024-05-21,Centro
84,Combo Família,65.46,2024-01-15,Centro
85,Prato Executivo,85.72,2024-05-07,Centro
86,Combo Família,21.03,2024-05-06,Centro
87,Prato Executivo,104.79,2024-05-15,Centro
88,Bebida,25.46,2024-02-09,Centro
89,Prato Executivo,169.87,2024-02-14,Centro
90,Combo Família,158.04,2024-02-05,Centro
91,Sobremesa,50.34,2024-03-11,Centro
92,Sobremesa,130.4,2024-04-04,Centro
93,Bebida,108.72,2024-01-22,Centro
94,Combo Família,147.22,2024-04-12,Centro
95,Prato Executivo,93.48,2024-02-13,Centro
96,Bebida,46.64,2024-04-11,Centro
97,Bebida,120.57,2024-02-24,Centro
98,Lanche,28.25,2024-06-20,Centro
99,Lanche,111.46,2024-02-27,Centro
100,Lanche,50.1,2024-06-05,Centro
101,Sobremesa,128.01,2024-02-01,Centro
102,Lanche,151.63,2024-01-16,Centro
103,Sobremesa,33.07,2024-02-03,Centro
104,Lanche,81.04,2024-03-16,Centro
105,Prato Executivo,136.03,2024-06-11,Centro
106,Sobremesa,42.01,2024-02-01,Centro
107,Bebida,108.48,2024-05-21,Centro
108,Prato Executivo,125.85,2024-05-05,Centro
109,Combo Família,73.54,2024-03-03,Centro
110,Lanche,152.28,2024-03-01,Centro
111,Sobremesa,99.26,2024-06-19,Centro
112,Lanche,118.45,2024-05-08,Centro
113,Prato Executivo,38.24,2024-02-13,Centro
114,Lanche,18.82,2024-06-13,Centro
115,Bebida,23.37,2024-03-14,Centro
116,Bebida,164.15,2024-01-15,Centro
117,Bebida,160.64,2024-05-26,Centro
118,Prato Executivo,148.25,2024-06-05,Centro
119,Lanche,47.94,2024-03-20,Centro
120,Lanche,101.7,2024-05-06,Centro
121,Bebida,146.36,2024-02-12,Centro
122,Lanche,126.32,2024-06-02,Centro
123,Lanche,34.06,2024-03-07,Centro
124,Bebida,162.76,2024-02-18,Centro
125,Sobremesa,41.51,2024-03-31,Centro
126,Lanche,43.35,2024-02-18,Centro
127,Combo Família,163.67,2024-04-21,Centro
128,Sobremesa,94.96,2024-05-14,Centro
129,Lanche,76.53,2024-03-14,Centro
130,Lanche,106.35,2024-05-21,Centro
131,Prato Executivo,176.93,2024-03-18,Centro
132,Combo Família,34.74,2024-06-23,Centro
133,Prato Executivo,139.9,2024-02-17,Centro
134,Lanche,70.16,2024-05-06,Centro
135,Sobremesa,34.31,2024-04-06,Centro
136,Combo Família,84.62,2024-06-18,Centro
137,Combo Família,105.54,2024-02-09,Centro
138,Prato Executivo,48.98,2024-02-05,Centro
139,Prato Executivo,81.87,2024-06-05,Centro
140,Combo Família,119.89,2024-06-11,Centro
141,Sobremesa,110.11,2024-05-14,Centro
142,Sobremesa,134.32,2024-03-26,Centro
143,Combo Família,153.01,2024-03-14,Centro
144,Prato Executivo,82.51,2024-04-29,Centro
145,Bebida,84.79,2024-05-14,Centro
146,Lanche,96.95,2024-02-19,Centro
147,Lanche,108.45,2024-01-02,Centro
148,Sobremesa,32.87,2024-01-14,Centro
149,Combo Família,66.58,2024-03-03,Centro
150,Lanche,43.36,2024-05-02,Centro
151,Lanche,78.67,2024-03-20,Centro
152,Prato Executivo,175.6,2024-04-21,Centro
153,Sobremesa,111.15,2024-03-25,Centro
154,Combo Família,85.85,2024-02-15,Centro
155,Lanche,108.38,2024-05-14,Centro
156,Bebida,125.4,2024-05-10,Centro
157,Combo Família,86.77,2024-06-22,Centro
158,Bebida,88.87,2024-05-28,Centro
159,Sobremesa,130.73,2024-03-09,Centro
160,Sobremesa,25.04,2024-05-06,Centro
161,Prato Executivo,104.11,2024-03-04,Centro
162,Lanche,105.31,2024-06-06,Centro
163,Sobremesa,139.86,2024-04-19,Centro
164,Lanche,177.14,2024-05-30,Centro
165,Combo Família,146.3,2024-02-20,Centro
166,Sobremesa,98.13,2024-01-03,Centro
167,Prato Executivo,42.96,2024-01-26,Centro
168,Lanche,112.06,2024-04-05,Centro
169,Sobremesa,152.66,2024-06-22,Centro
170,Bebida,168.85,2024-04-22,Centro
171,Combo Família,151.18,2024-05-25,Centro
172,Bebida,46.18,2024-03-25,Centro
173,Combo Família,132.58,2024-06-21,Centro
174,Prato Executivo,160.23,2024-06-18,Centro
175,Prato Executivo,127.37,2024-02-09,Centro
176,Combo Família,128.15,2024-06-04,Centro
177,Sobremesa,97.53,2024-01-04,Centro
178,Prato Executivo,120.1,2024-04-16,Centro
179,Sobremesa,63.57,2024-03-19,Centro
180,Bebida,29.65,2024-02-24,Centro
181,Combo Família,151.57,2024-06-17,Centro
182,Bebida,170.62,2024-04-29,Centro
183,Prato Executivo,156.38,2024-01-25,Centro
