id_venda,produto,valor,data_venda,filial
1,Prato Executivo,84.38,2024-03-22,Online
2,Sobremesa,115.09,2024-02-29,Online
3,Combo Família,134.56,2024-02-06,Online
4,Combo Família,162.84,2024-05-21,Online
5,Prato Executivo,60.04,2024-01-20,Online
6,Lanche,119.08,2024-06-05,Online
7,Prato Executivo,128.25,2024-05-28,Online
8,Bebida,126.34,2024-06-24,Online
9,Sobremesa,96.35,2024-03-23,Online
10,Bebida,79.52,2024-04-21,Online
11,Prato Executivo,140.79,2024-06-07,Online
12,Lanche,64.5,2024-01-24,Online
13,Prato Executivo,49.33,2024-02-25,Online
14,Bebida,105.06,2024-03-25,Online
15,Lanche,59.16,2024-04-22,Online
16,Sobremesa,20.48,2024-05-02,Online
17,Bebida,23.51,2024-06-15,Online
18,Combo Família,129.68,2024-03-29,Online
19,Sobremesa,175.57,2024-01-31,Online
20,Prato Executivo,90.02,2024-02-04,Online
21,Lanche,39.27,2024-05-24,Online
22,Lanche,149.98,2024-03-23,Online
23,Bebida,58.14,2024-04-23,Online
24,Lanche,179.28,2024-04-11,Online
25,Lanche,107.94,2024-05-26,Online
26,Bebida,53.38,2024-02-09,Online
27,Sobremesa,96.84,2024-01-31,Online
28,Prato Executivo,70.34,2024-05-12,Online
29,Lanche,143.61,2024-03-19,Online
30,Combo Família,32.46,2024-05-26,Online
31,Combo Família,156.41,2024-01-24,Online
32,Lanche,141.61,2024-02-18,Online
33,Combo Família,157.13,2024-06-21,Online
34,Combo Família,162.67,2024-05-31,Online
35,Sobremesa,52.91,2024-01-12,Online
36,Sobremesa,100.97,2024-05-27,Online
37,Combo Família,155.24,2024-01-12,Online
38,Prato Executivo,77.27,2024-01-22,Online
39,Prato Executivo,24.97,2024-06-10,Online
40,Prato Executivo,63.12,2024-01-23,Online
41,Combo Família,54.92,2024-02-24,Online
42,Bebida,158.56,2024-01-25,Online
43,Sobremesa,91.53,2024-04-17,Online
44,Lanche,127.78,2024-01-11,Online
45,Combo Família,173.75,2024-02-21,Online
46,Bebida,64.37,2024-02-28,Online
47,Lanche,140.6,2024-04-26,Online
48,Sobremesa,18.76,2024-03-30,Online
49,Bebida,32.18,2024-02-04,Online
50,Sobremesa,41.71,2024-03-24,Online
51,Sobremesa,66.55,2024-03-23,Online
52,Lanche,81.49,2024-03-04,Online
53,Sobremesa,93.71,2024-04-06,Online
54,Sobremesa,55.48,2024-02-28,Online
