id_venda,produto,valor,data_venda,filial
1,Combo Família,74.5,2024-01-13,Shopping
2,Combo Família,65.35,2024-02-01,Shopping
3,Prato Executivo,37.69,2024-04-02,Shopping
4,Prato Executivo,166.19,2024-03-05,Shopping
5,Prato Executivo,118.54,2024-05-07,Shopping
6,Sobremesa,20.24,2024-03-13,Shopping
7,Combo Família,99.31,2024-06-28,Shopping
8,Prato Executivo,29.16,2024-02-23,Shopping
9,Lanche,109.67,2024-03-05,Shopping
10,Lanche,98.98,2024-01-01,Shopping
11,Combo Família,28.67,2024-02-14,Shopping
12,Bebida,149.62,2024-02-12,Shopping
13,Lanche,58.28,2024-05-17,Shopping
14,Sobremesa,104.34,2024-03-01,Shopping
15,Prato Executivo,120.44,2024-02-06,Shopping
16,Sobremesa,173.78,2024-02-26,Shopping
17,Prato Executivo,96.48,2024-04-11,Shopping
18,Prato Executivo,166.36,2024-05-21,Shopping
19,Lanche,73.55,2024-06-25,Shopping
20,Bebida,156.48,2024-01-09,Shopping
21,Sobremesa,53.91,2024-05-31,Shopping
22,Combo Família,131.73,2024-03-11,Shopping
23,Lanche,29.62,2024-05-25,Shopping
24,Combo Família,177.7,2024-01-07,Shopping
25,Bebida,172.4,2024-04-22,Shopping
26,Prato Executivo,87.97,2024-06-16,Shopping
27,Prato Executivo,101.45,2024-01-08,Shopping
28,Combo Família,113.63,2024-05-22,Shopping
29,Prato Executivo,60.38,2024-01-21,Shopping
30,Bebida,126.29,2024-06-25,Shopping
31,Sobremesa,130.26,2024-05-13,Shopping
32,Combo Família,101.64,2024-06-12,Shopping
33,Prato Executivo,39.38,2024-06-10,Shopping
34,Combo Família,166.67,2024-02-26,Shopping
35,Sobremesa,33.98,2024-03-15,Shopping
36,Lanche,118.81,2024-05-04,Shopping
37,Lanche,32.01,2024-02-01,Shopping
38,Lanche,39.11,2024-02-25,Shopping
39,Combo Família,18.39,2024-01-18,Shopping
40,Sobremesa,74.96,2024-06-08,Shopping
41,Combo Família,120.53,2024-02-14,Shopping
42,Sobremesa,101.05,2024-03-14,Shopping
43,Sobremesa,126.3,2024-03-22,Shopping
44,Bebida,126.38,2024-03-08,Shopping
45,Prato Executivo,38.13,2024-05-20,Shopping
46,Combo Família,24.46,2024-06-13,Shopping
47,Sobremesa,118.18,2024-04-13,Shopping
48,Sobremesa,122.78,2024-05-30,Shopping
49,Bebida,106.86,2024-01-20,Shopping
50,Combo Família,55.55,2024-06-22,Shopping
51,Bebida,148.78,2024-01-21,Shopping
52,Sobremesa,27.49,2024-01-12,Shopping
53,Bebida,119.33,2024-01-05,Shopping
54,Lanche,34.87,2024-02-13,Shopping
55,Prato Executivo,122.98,2024-05-30,Shopping
56,Bebida,83.92,2024-02-24,Shopping
57,Combo Família,133.49,2024-05-22,Shopping
58,Lanche,23.61,2024-03-17,Shopping
59,Sobremesa,106.59,2024-01-19,Shopping
60,Bebida,38.9,2024-03-26,Shopping
61,Bebida,127.59,2024-02-11,Shopping
62,Bebida,34.79,2024-02-22,Shopping
63,Prato Executivo,27.14,2024-04-03,Shopping
64,Bebida,132.67,2024-05-22,Shopping
65,Sobremesa,25.48,2024-04-15,Shopping
66,Bebida,52.05,2024-02-10,Shopping
67,Bebida,151.08,2024-05-09,Shopping
68,Sobremesa,148.6,2024-05-05,Shopping
69,Combo Família,155.93,2024-02-12,Shopping
70,Prato Executivo,68.81,2024-06-02,Shopping
71,Lanche,102.13,2024-05-31,Shopping
72,Sobremesa,142.6,2024-04-18,Shopping
73,Bebida,37.6,2024-02-23,Shopping
74,Prato Executivo,134.52,2024-03-04,Shopping
75,Bebida,31.09,2024-03-20,Shopping
76,Sobremesa,165.69,2024-02-03,Shopping
77,Prato Executivo,120.16,2024-02-25,Shopping
78,Combo Família,96.4,2024-01-25,Shopping
79,Prato Executivo,94.98,2024-01-28,Shopping
80,Sobremesa,44.92,2024-05-13,Shopping
81,Prato Executivo,72.08,2024-01-24,Shopping
82,Prato Executivo,134.98,2024-03-25,Shopping
83,Prato Executivo,104.26,2024-03-18,Shopping
84,Prato Executivo,102.34,2024-01-09,Shopping
85,Bebida,47.22,2024-05-29,Shopping
86,Sobremesa,128.91,2024-06-26,Shopping
87,Sobremesa,79.69,2024-04-24,Shopping
88,Combo Família,45.15,2024-04-30,Shopping
89,Sobremesa,170.72,2024-02-11,Shopping
